comment_sentence_id,class,comment_sentence,partition,instance_type,category
1164,TestUpgradeDomainBlockPlacementPolicy.java,test config upgrad domain node via admin json,0,0,summary
1165,TestUpgradeDomainBlockPlacementPolicy.java,config file put node decommiss state,1,0,summary
1166,TestUpgradeDomainBlockPlacementPolicy.java,test verifi replica place node,0,0,summary
1167,TestUpgradeDomainBlockPlacementPolicy.java,satisfi upgrad domain polici,1,0,summary
656,NativeBatchProcessor.java,use creat channel transfer data command java nativ,0,0,summary
660,NativeSingleLineParser.java,p expect log format normalizedjobnam numinst submittim,1,0,summary
661,NativeSingleLineParser.java,starttim endtim jobinstancenam memusag coreusag,0,0,summary
151,Classpath.java,output like includ wildcard classpath,1,0,summary
1175,TextInputFormat.java,either linefe carriag return use signal end line,0,0,summary
1178,TextInputFormat.java,,1,0,summary
156,Classpath.java,use situat wildcard syntax usabl,0,0,summary
157,Classpath.java,jar argument write classpath manifest jar file,1,0,summary
672,Node2ObjectsMap.java,inform built dn contain report,0,0,summary
1190,TimelineDataToRetrieve.java,ul,1,0,summary
1191,TimelineDataToRetrieve.java,li b confstoretriev b use decid config return,0,0,summary
1192,TimelineDataToRetrieve.java,respons,1,0,summary
1193,TimelineDataToRetrieve.java,repres link timelinefilterlist object,0,0,summary
1194,TimelineDataToRetrieve.java,contain link timelineprefixfilt object,1,0,summary
1195,TimelineDataToRetrieve.java,either,0,0,summary
172,ComparableVersion.java,code sourc file http grepcodecom file repo1mavenorg maven2 orgapachemaven maven artifact 311 org apach maven artifact version comparableversionjava modif made top sourc 1,1,0,summary
1196,TimelineDataToRetrieve.java,exact config key prefix compar config,0,0,summary
173,ComparableVersion.java,chang packag orgapachemavenartifactvers packag orgapachehadooputil 2,1,0,summary
1199,TimelineDataToRetrieve.java,empti configur fetch fieldstoretriev,0,0,summary
176,ComparableVersion.java,p featur,1,0,summary
1200,TimelineDataToRetrieve.java,contain link fieldconfig link fieldal,0,0,summary
177,ComparableVersion.java,ul,1,0,summary
1202,TimelineDataToRetrieve.java,confus configfilt use decid entiti,0,0,summary
1203,TimelineDataToRetrieve.java,return instead,1,0,summary
1204,TimelineDataToRetrieve.java,li,0,0,summary
693,OzoneObj.java,ozon object support acl,1,0,summary
694,OzoneObj.java,ozon object support acl,0,0,summary
1206,TimelineDataToRetrieve.java,respons,1,0,summary
1207,TimelineDataToRetrieve.java,repres link timelinefilterlist object,0,0,summary
1208,TimelineDataToRetrieve.java,contain link timelineprefixfilt object,1,0,summary
1209,TimelineDataToRetrieve.java,either,0,0,summary
1210,TimelineDataToRetrieve.java,exact metric id prefix compar metric,1,0,summary
699,PartialOutputCommitter.java,interfac link orgapachehadoopmapreduceoutputcommitt,0,0,summary
188,ComparableVersion.java,li code mileston code code code li,1,0,summary
189,ComparableVersion.java,li code rc code code cr code li,0,0,summary
1213,TimelineDataToRetrieve.java,empti metric fetch fieldstoretriev contain,1,0,summary
190,ComparableVersion.java,li code snapshot code li,0,0,summary
191,ComparableVersion.java,li code empti string code code ga code code final code li,1,0,summary
192,ComparableVersion.java,li code sp code li,0,0,summary
1216,TimelineDataToRetrieve.java,metricfilt use decid entiti return,1,0,summary
193,ComparableVersion.java,ul,0,0,summary
1217,TimelineDataToRetrieve.java,instead,1,0,summary
194,ComparableVersion.java,unknown qualifi consid known qualifi lexic order alway case insensit,0,0,summary
1218,TimelineDataToRetrieve.java,li,1,0,summary
195,ComparableVersion.java,li,0,0,summary
197,ComparableVersion.java,li,1,0,summary
1222,TimelineDataToRetrieve.java,name entiti id entiti type entiti creat time,0,0,summary
199,ComparableVersion.java,see href cwikiapacheorg confluenc display mavenold version version maven wiki,1,0,summary
1223,TimelineDataToRetrieve.java,field,0,0,summary
712,QuasiMonteCarlo.java,use quasi mont carlo qmc method,0,0,summary
713,QuasiMonteCarlo.java,arbitrari integr approxim numer qmc method,0,0,summary
1225,TimelineDataToRetrieve.java,li,0,0,summary
714,QuasiMonteCarlo.java,exampl,0,0,summary
715,QuasiMonteCarlo.java,use qmc method approxim integr int f x dx,0,0,summary
716,QuasiMonteCarlo.java,01 2 unit squar,0,0,summary
1228,TimelineDataToRetrieve.java,number metric return,0,0,summary
717,QuasiMonteCarlo.java,x x 1x 2 2 dimension point,0,0,summary
1229,TimelineDataToRetrieve.java,paramet ignor metric,0,0,summary
718,QuasiMonteCarlo.java,f function describ inscrib circl squar,0,0,summary
1230,TimelineDataToRetrieve.java,fetch,0,0,summary
719,QuasiMonteCarlo.java,f x 1 2x 1 1 2 2x 2 1 2 lt 1 f x 0 otherwis,0,0,summary
1231,TimelineDataToRetrieve.java,li,0,0,summary
720,QuasiMonteCarlo.java,easi see pi equal 4i,0,0,summary
721,QuasiMonteCarlo.java,approxim pi obtain evalu numer,0,0,summary
1233,TimelineDataToRetrieve.java,retriev,0,0,summary
722,QuasiMonteCarlo.java,better method comput pi,0,0,summary
723,QuasiMonteCarlo.java,emphas numer approxim arbitrari integr exampl,0,0,summary
1235,TimelineDataToRetrieve.java,li,0,0,summary
724,QuasiMonteCarlo.java,comput mani digit pi consid use bbp,0,0,summary
725,QuasiMonteCarlo.java,implement discus,0,0,summary
1237,TimelineDataToRetrieve.java,retriev,0,0,summary
726,QuasiMonteCarlo.java,mapper,0,0,summary
727,QuasiMonteCarlo.java,gener point unit squar,0,0,summary
1239,TimelineDataToRetrieve.java,li,0,0,summary
728,QuasiMonteCarlo.java,count point insid outsid inscrib circl squar,0,0,summary
1240,TimelineDataToRetrieve.java,ul,0,0,summary
729,QuasiMonteCarlo.java,reduc,0,0,summary
741,QuasiMonteCarlo.java,gener point unit squar,0,0,summary
742,QuasiMonteCarlo.java,count point insid outsid inscrib circl squar,0,0,summary
249,DBProfile.java,document option,0,0,summary
250,DBProfile.java,p,0,0,summary
251,DBProfile.java,githubcom facebook rocksdb blob master includ rocksdb optionsh,0,0,summary
252,DBProfile.java,p,0,0,summary
253,DBProfile.java,tune paramet base url,0,0,summary
254,DBProfile.java,p,0,0,summary
255,DBProfile.java,githubcom facebook rocksdb wiki setup option basic tune,0,0,summary
776,Query.java,queri usual partial record,0,0,summary
777,Query.java,param type record queri,0,0,summary
784,RandomKeyGenerator.java,wrapper hold ozon keyvalid entri,0,0,summary
785,RandomKeyGenerator.java,valid write done ozon cluster,0,0,summary
274,DelegatingSSLSocketFactory.java,specif either openssl jsse use,0,0,summary
275,DelegatingSSLSocketFactory.java,openssl offer better,0,0,summary
276,DelegatingSSLSocketFactory.java,perform jsse made avail via,0,0,summary
277,DelegatingSSLSocketFactory.java,href githubcom wildfli wildfli openssl wildlfi openssl,0,0,summary
278,DelegatingSSLSocketFactory.java,librari,0,0,summary
279,DelegatingSSLSocketFactory.java,p,0,0,summary
791,ReencryptionUpdater.java,p,0,0,summary
280,DelegatingSSLSocketFactory.java,factori sever differ mode oper,0,0,summary
281,DelegatingSSLSocketFactory.java,ul,0,0,summary
793,ReencryptionUpdater.java,p,0,0,summary
282,DelegatingSSLSocketFactory.java,li openssl use wildli openssl librari deleg,0,0,summary
283,DelegatingSSLSocketFactory.java,system instal openssl,0,0,summary
284,DelegatingSSLSocketFactory.java,wildfli openssl integr,0,0,summary
285,DelegatingSSLSocketFactory.java,properli setup except thrown,0,0,summary
797,ReencryptionUpdater.java,class track encrypt submiss singl zone,0,0,summary
286,DelegatingSSLSocketFactory.java,li,0,0,summary
800,ReencryptionUpdater.java,process,0,0,summary
289,DelegatingSSLSocketFactory.java,li,0,0,summary
291,DelegatingSSLSocketFactory.java,disabl gcm cipher run java 8,0,0,summary
292,DelegatingSSLSocketFactory.java,li,0,0,summary
295,DelegatingSSLSocketFactory.java,li,0,0,summary
296,DelegatingSSLSocketFactory.java,ul,0,0,summary
297,DelegatingSSLSocketFactory.java,p,0,0,summary
301,DelegatingSSLSocketFactory.java,p,0,0,summary
302,DelegatingSSLSocketFactory.java,default jsse truli default jsse implement,0,0,summary
303,DelegatingSSLSocketFactory.java,gcm cipher disabl run java 8,0,0,summary
304,DelegatingSSLSocketFactory.java,howev name,0,0,summary
305,DelegatingSSLSocketFactory.java,chang order preserv backward compat,0,0,summary
306,DelegatingSSLSocketFactory.java,instead,0,0,summary
307,DelegatingSSLSocketFactory.java,new mode call default jsse gcm deleg default jsse,0,0,summary
308,DelegatingSSLSocketFactory.java,implement chang list enabl cipher,0,0,summary
309,DelegatingSSLSocketFactory.java,p,0,0,summary
831,RegistryInternalConstants.java,thing visibl user,0,0,summary
838,ResourceBlacklistRequest.java,see resourcerequest,0,0,summary
839,ResourceBlacklistRequest.java,see applicationmasterprotocolalloc orgapachehadoopyarnapiprotocolrecordsallocaterequest,0,0,summary
1356,TypedEvent.java,param,0,0,summary
847,ResourceRequestsJsonVerifications.java,help,0,0,summary
848,ResourceRequestsJsonVerifications.java,link builder user also make verif custom resourc,0,0,summary
849,ResourceRequestsJsonVerifications.java,type valu,0,0,summary
1362,UniformSizeInputFormat.java,look copi list group content input split,0,0,summary
1363,UniformSizeInputFormat.java,total number byte copi input split,0,0,summary
1364,UniformSizeInputFormat.java,uniform,0,0,summary
1373,Utils.java,class filter output part file given directori,0,0,summary
1374,Utils.java,accept file filenam log success,0,0,summary
1375,Utils.java,use list path output directori follow,0,0,summary
1376,Utils.java,path filelist fileutilstat2path fsliststatu outdir,0,0,summary
1377,Utils.java,new outputfilesfilt,0,0,summary
1378,Utils.java,class filter log file directori given,0,0,summary
1379,Utils.java,doesnt accept path log,0,0,summary
1380,Utils.java,use list path output directori follow,0,0,summary
1381,Utils.java,path filelist fileutilstat2path fsliststatu outdir,0,0,summary
1382,Utils.java,new outputlogfilt,0,0,summary
876,SafeModeException.java,client modifi namespac safe mode,0,0,summary
365,DiskBalancerCluster.java,p,0,0,summary
366,DiskBalancerCluster.java,plea note,0,0,summary
367,DiskBalancerCluster.java,semant inclusionlist exclusionlist,0,0,summary
368,DiskBalancerCluster.java,p,0,0,summary
369,DiskBalancerCluster.java,non empti inclusionlist specifi diskbalanc assum,0,0,summary
370,DiskBalancerCluster.java,user interest process list node,0,0,summary
371,DiskBalancerCluster.java,node list,0,0,summary
372,DiskBalancerCluster.java,check exclusionlist node inclusionlist,0,0,summary
373,DiskBalancerCluster.java,exclusionlist process,0,0,summary
374,DiskBalancerCluster.java,p,0,0,summary
375,DiskBalancerCluster.java,inclusionlist empti assum live node node,0,0,summary
376,DiskBalancerCluster.java,process diskbalanc,0,0,summary
377,DiskBalancerCluster.java,case diskbalanc avoid,0,0,summary
378,DiskBalancerCluster.java,node specifi exclusionlist process node,0,0,summary
379,DiskBalancerCluster.java,cluster,0,0,summary
380,DiskBalancerCluster.java,p,0,0,summary
1404,WritableComparator.java,p base implement use natur order,0,0,summary
381,DiskBalancerCluster.java,word empti inclusionlist mean node otherwis,0,0,summary
1405,WritableComparator.java,defin altern,0,0,summary
382,DiskBalancerCluster.java,given list process exclusionlist alway honor,0,0,summary
1406,WritableComparator.java,order overrid link compar writablecomparablewritablecompar,0,0,summary
1407,WritableComparator.java,p one may optim compar intens oper overrid,0,0,summary
1408,WritableComparator.java,link compar byte intintbyt intint,0,0,summary
1409,WritableComparator.java,static util method,0,0,summary
1410,WritableComparator.java,provid assist optim implement method,0,0,summary
899,StreamBaseRecordReader.java,custom reader,0,0,summary
900,StreamBaseRecordReader.java,defin recordread constructor select,0,0,summary
901,StreamBaseRecordReader.java,option bin hadoopstream inputread,0,0,summary
902,StreamBaseRecordReader.java,see streamxmlrecordread,0,0,summary
910,StructureGenerator.java,constraint,0,0,summary
911,StructureGenerator.java,1,0,0,summary
912,StructureGenerator.java,number subdirectori random number minwidth maxwidth,0,0,summary
913,StructureGenerator.java,2,0,0,summary
914,StructureGenerator.java,maximum depth subdirectori random number 2 maxdepth 3 maxdepth,0,0,summary
915,StructureGenerator.java,3,0,0,summary
916,StructureGenerator.java,file randomli place empti directori,0,0,summary
917,StructureGenerator.java,size,0,0,summary
918,StructureGenerator.java,file follow gaussian distribut,0,0,summary
919,StructureGenerator.java,gener namespac structur describ two file output,0,0,summary
920,StructureGenerator.java,directori,0,0,summary
1432,YarnAuthorizationProvider.java,except,0,0,summary
1433,YarnAuthorizationProvider.java,method defin interfac non block call,0,0,summary
922,StructureGenerator.java,line second file contain,0,0,summary
1434,YarnAuthorizationProvider.java,involv expens comput method could invok rpc,0,0,summary
923,StructureGenerator.java,full name file size separ blank,0,0,summary
924,StructureGenerator.java,synopsi command,0,0,summary
413,EditLogTailer.java,thread actual work tail edit journal,0,0,summary
925,StructureGenerator.java,java structuregener,0,0,summary
414,EditLogTailer.java,appli transact fsn,0,0,summary
926,StructureGenerator.java,maxdepth maxdepth maximum depth directori tree default 5,0,0,summary
415,EditLogTailer.java,manag activ namenod proxi,0,0,summary
927,StructureGenerator.java,minwidth minwidth minimum number subdirectori per directori default 1,0,0,summary
416,EditLogTailer.java,singl proxi sinc could,0,0,summary
928,StructureGenerator.java,maxwidth maxwidth maximum number subdirectori per directori default 5,0,0,summary
417,EditLogTailer.java,failov across number namenod rather activ standbi,0,0,summary
929,StructureGenerator.java,numoffil offil total number file default 10,0,0,summary
418,EditLogTailer.java,p,0,0,summary
930,StructureGenerator.java,avgfiles avgfilesizeinblock averag size block default 1,0,0,summary
419,EditLogTailer.java,lazili get proxi one configur namenod attempt make request,0,0,summary
931,StructureGenerator.java,outdir outdir output directori default current directori,0,0,summary
420,EditLogTailer.java,,0,0,summary
932,StructureGenerator.java,seed seed random number gener seed default current time,0,0,summary
421,EditLogTailer.java,succeed either proxi fail creat request,0,0,summary
933,StructureGenerator.java,memori represent directori memori represent file,0,0,summary
422,EditLogTailer.java,fail tri next nn list,0,0,summary
423,EditLogTailer.java,tri configur maximum number,0,0,summary
424,EditLogTailer.java,retri throw hand,0,0,summary
425,EditLogTailer.java,work proxi retain across attempt sinc,0,0,summary
426,EditLogTailer.java,expect activ namenod switch rare,0,0,summary
427,EditLogTailer.java,p,0,0,summary
428,EditLogTailer.java,mechan b bad b case care fast,0,0,summary
429,EditLogTailer.java,blindli goe tri namenod,0,0,summary
961,SwiftBadRequestException.java,data local calcul openstack swift version old,0,0,summary
451,ErasureCodingPolicyManager.java,load custom polici sync persist one,0,0,summary
452,ErasureCodingPolicyManager.java,namenod imag,0,0,summary
453,ErasureCodingPolicyManager.java,class instanti fsnamesystem,0,0,summary
971,SwiftRestClient.java,get current oper statist,0,0,summary
972,SwiftRestClient.java,return snapshot statist,0,0,summary
461,EventWatcher.java,event watcher send track payload event timeout period,0,0,summary
973,SwiftRestClient.java,base class swift rest oper,0,0,summary
462,EventWatcher.java,unless confirm origin event complet event arriv,0,0,summary
974,SwiftRestClient.java,param request,0,0,summary
463,EventWatcher.java,param timeout payload type event track,0,0,summary
975,SwiftRestClient.java,param r result,0,0,summary
464,EventWatcher.java,param complet payload type event could cancel,0,0,summary
976,SwiftRestClient.java,get current oper statist,0,0,summary
465,EventWatcher.java,track,0,0,summary
977,SwiftRestClient.java,return snapshot statist,0,0,summary
981,SwiftRestClient.java,get current oper statist,0,0,summary
982,SwiftRestClient.java,return snapshot statist,0,0,summary
983,SwiftRestClient.java,gener auth messag,0,0,summary
984,SwiftRestClient.java,param r respons,0,0,summary
985,SwiftRestClient.java,get current oper statist,0,0,summary
986,SwiftRestClient.java,return snapshot statist,0,0,summary
987,SwiftRestClient.java,creat oper,0,0,summary
989,SwiftRestClient.java,get current oper statist,0,0,summary
990,SwiftRestClient.java,return snapshot statist,0,0,summary
991,SwiftRestClient.java,delet oper,0,0,summary
480,FairOrderingPolicy.java,,0,0,summary
992,SwiftRestClient.java,param r,0,0,summary
481,FairOrderingPolicy.java,sizedbasedweight set true applic high demand,0,0,summary
482,FairOrderingPolicy.java,may priorit ahead applic le usag,0,0,summary
483,FairOrderingPolicy.java,,0,0,summary
484,FairOrderingPolicy.java,offset tendenc favor small app could result,0,0,summary
486,FairOrderingPolicy.java,continu option default fals,0,0,summary
1536,KVStore.java,kvstore instanc thread safe read write,0,0,summary
1537,KVStore.java,p,1,0,summary
1448,ChunkFetchSuccess.java,similarli client side decod reus netti bytebuf buffer,0,0,summary
1588,StreamHandle.java,use link orgapachesparknetworkshuffleoneforoneblockfetch,1,0,summary
1595,UploadBlockStream.java,actual block data contain,0,0,summary
1596,UploadBlockStream.java,pas streamcallbackwithid,1,0,summary
1597,UploadBlockStream.java,return rpchandlerreceivestream,0,0,summary
1471,JavaRecord.java,java bean class use exampl javasqlnetworkwordcount,1,0,summary
1477,JavaStreamingTestExample.java,row text file must form boolean doubl,0,0,summary
1478,JavaStreamingTestExample.java,exampl,1,0,summary
1479,JavaStreamingTestExample.java,fals 392,0,0,summary
1480,JavaStreamingTestExample.java,true 9932,1,0,summary
1481,JavaStreamingTestExample.java,usag,0,0,summary
1482,JavaStreamingTestExample.java,javastreamingtestexampl datadir batchdur numbatchestimeout,1,0,summary
1483,JavaStreamingTestExample.java,run local machin use directori datadir 5 second batch,0,0,summary
1484,JavaStreamingTestExample.java,timeout 100 insignific batch call,1,0,summary
1485,JavaStreamingTestExample.java,bin run exampl mllibjavastreamingtestexampl datadir 5 100,0,0,summary
1486,JavaStreamingTestExample.java,add text file datadir signific test wil continu updat everi,1,0,summary
1487,JavaStreamingTestExample.java,batchdur second test becom signific p valu 005 number,0,0,summary
1488,JavaStreamingTestExample.java,batch process exce numbatchestimeout,1,0,summary
1506,KVStore.java,p,0,0,summary
1507,KVStore.java,two main featur provid implement interfac,0,0,summary
1508,KVStore.java,p,0,0,summary
1509,KVStore.java,h3 serial h3,0,0,summary
1510,KVStore.java,p,0,0,summary
1511,KVStore.java,underli data store requir serial data serial deseri,0,0,summary
1512,KVStore.java,use link kvstoreseri custom applic,0,0,summary
1513,KVStore.java,serial,0,0,summary
1514,KVStore.java,base jackson support jackson annot control serial,0,0,summary
1515,KVStore.java,app defin type,0,0,summary
1516,KVStore.java,p,0,0,summary
1517,KVStore.java,p,0,0,summary
1518,KVStore.java,data also automat compress save disk space,0,0,summary
1519,KVStore.java,p,0,0,summary
1520,KVStore.java,h3 automat key manag h3,0,0,summary
1521,KVStore.java,p,0,0,summary
1522,KVStore.java,use built key manag implement automat creat uniqu,0,0,summary
1523,KVStore.java,key type written store,0,0,summary
1524,KVStore.java,key base type name alway start,0,0,summary
1525,KVStore.java,prefix charact easi use manual automat key,0,0,summary
1526,KVStore.java,manag api without conflict,0,0,summary
1527,KVStore.java,p,0,0,summary
1528,KVStore.java,p,0,0,summary
1529,KVStore.java,anoth featur automat key manag index annot field method,0,0,summary
1530,KVStore.java,object written store link kvindex indic creat sort data,0,0,summary
1531,KVStore.java,valu properti,0,0,summary
1532,KVStore.java,make possibl provid sort without,0,0,summary
1533,KVStore.java,load instanc type store,0,0,summary
1534,KVStore.java,p,0,0,summary
1535,KVStore.java,p,0,0,summary
2048,ICodeReaderFactory.java,norefer interfac intend referenc client,0,0,summary
2055,ICPointerType.java,noimplement interfac intend implement client,1,0,summary
2059,ICPPAliasTemplateInstance.java,sinc 55,0,0,summary
2060,ICPPAliasTemplateInstance.java,noextend interfac intend extend client,1,0,summary
2061,ICPPAliasTemplateInstance.java,noimplement interfac intend implement client,0,0,summary
2068,ICPPASTLinkageSpecification.java,noextend interfac intend extend client,1,0,summary
2069,ICPPASTLinkageSpecification.java,noimplement interfac intend implement client,0,0,summary
2581,TypedCDTViewerFilter.java,see orgeclipsecdtinternaluidialogstypedviewerfilt,1,0,summary
2582,TypedCDTViewerFilter.java,noextend class intend subclass client,0,0,summary
2586,UncallCommandHandler.java,sinc 70,1,0,summary
2075,ICPPASTVirtSpecifier.java,two virt specifi final overrid,0,0,summary
2076,ICPPASTVirtSpecifier.java,noimplement interfac intend implement client,1,0,summary
2077,ICPPASTVirtSpecifier.java,noextend interfac intend extend client,0,0,summary
2078,ICPPASTVirtSpecifier.java,sinc 57,1,0,summary
2590,UPCKeyword.java,author mike kucera,0,0,summary
2594,UPCLanguage.java,author mike kucera,1,0,summary
2085,ICPPPointerToMemberType.java,noimplement interfac intend implement client,0,0,summary
2598,VMHasChildrenUpdate.java,see vmviewerupd,1,0,summary
2599,VMHasChildrenUpdate.java,sinc 10,0,0,summary
2090,ICSourceNotFoundDescription.java,instanc usual provid adapt,1,0,summary
2604,WhiteSpaceOptions.java,preview snippet,0,0,summary
2605,WhiteSpaceOptions.java,privat void createbeforeellipsi map workingvalu innernod parent createopt parent workingvalu formattermessageswhitespaceopt vararg paramet defaultcodeformatterconstantsformatt insert space ellipsi vararg paramet preview privat void createafterellipsi map workingvalu innernod parent createopt parent workingvalu formattermessageswhitespaceopt vararg paramet defaultcodeformatterconstantsformatt insert space ellipsi vararg paramet preview syntax element tree privat innernod createreturntre map workingvalu innernod parent final innernod root new innernod parent workingvalu formattermessageswhitespaceopt return createopt root workingvalu formattermessageswhitespacetabpag parenthes express defaultcodeformatterconstantsformatt insert space parenthes express return return preview return root privat innernod createthrowtre map workingvalu innernod parent final innernod root new innernod parent workingvalu formattermessageswhitespaceopt throw createopt root workingvalu formattermessageswhitespacetabpag parenthes express defaultcodeformatterconstantsformatt insert space parenthes express throw throw preview return root,1,0,summary
2606,WhiteSpaceOptions.java,repres node option tree,0,0,summary
2607,WhiteSpaceOptions.java,preview snippet,1,0,summary
2096,IDsfDebugServicesFactory.java,sinc 11,0,0,summary
